epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,9340.4,1.8052,2.44728,1.06239,0.96796,0,0.75138,0.54209,0.54564,0.3786,0.5376,0.45498,0.38412,0.24775,2.00725,2.44349,1.11118,0.93907,0,0.00081403,0.00081403,0.00081403
29,9629.24,1.78926,2.38936,1.03529,0.96233,0,0.75612,0.53387,0.54985,0.38304,0.52617,0.4436,0.3784,0.2512,1.97822,2.49174,1.09836,0.91657,0,0.000803031,0.000803031,0.000803031
30,9941.63,1.81057,2.43027,1.05691,0.96344,0,0.72375,0.54627,0.54733,0.38406,0.53196,0.46203,0.38818,0.24822,1.98692,2.43214,1.09766,0.92158,0,0.000792032,0.000792032,0.000792032
31,10247.7,1.78936,2.41938,1.04265,0.96177,0,0.74463,0.54525,0.55124,0.38358,0.53392,0.4497,0.38015,0.25213,1.98096,2.42442,1.09802,0.92388,0,0.000781033,0.000781033,0.000781033
32,10529.3,1.7884,2.41231,1.03303,0.95853,0,0.77245,0.53322,0.55441,0.39132,0.52748,0.44676,0.38454,0.25613,1.95539,2.44572,1.08339,0.91135,0,0.000770034,0.000770034,0.000770034
33,10804.5,1.7966,2.3894,1.05284,0.96523,0,0.75257,0.5364,0.55028,0.38618,0.54599,0.44126,0.38412,0.25308,1.97268,2.48678,1.09035,0.91258,0,0.000759035,0.000759035,0.000759035
34,11100,1.79047,2.38477,1.03464,0.96058,0,0.7576,0.54335,0.55574,0.39352,0.53751,0.4492,0.38777,0.25809,1.97049,2.4821,1.09156,0.91305,0,0.000748036,0.000748036,0.000748036
35,11429.8,1.77367,2.4062,1.03404,0.9592,0,0.74309,0.54195,0.54448,0.37748,0.56313,0.46837,0.39873,0.25259,1.97546,2.45435,1.09571,0.91717,0,0.000737037,0.000737037,0.000737037
36,11733.8,1.74811,2.37656,1.01157,0.9539,0,0.76707,0.53077,0.54697,0.38202,0.57339,0.44292,0.39041,0.25265,1.97851,2.49032,1.09738,0.91414,0,0.000726038,0.000726038,0.000726038
37,12017.5,1.76811,2.37736,1.00834,0.95046,0,0.76166,0.54632,0.55747,0.3897,0.55676,0.45583,0.39208,0.25662,1.93413,2.42287,1.0593,0.90453,0,0.00071504,0.00071504,0.00071504
38,12322.7,1.74799,2.3565,1.00188,0.94859,0,0.77484,0.54844,0.55947,0.3864,0.56134,0.46147,0.39032,0.24779,1.94251,2.40414,1.06356,0.92568,0,0.000704041,0.000704041,0.000704041
39,12603.2,1.73785,2.35662,1.00489,0.94787,0,0.76839,0.55395,0.56537,0.39405,0.56099,0.47141,0.40419,0.25683,1.9579,2.36765,1.07538,0.91167,0,0.000693042,0.000693042,0.000693042
40,12902.7,1.73766,2.30028,0.99071,0.94491,0,0.74637,0.55833,0.56308,0.39837,0.5478,0.46547,0.39171,0.26197,1.91612,2.36803,1.04711,0.90736,0,0.000682043,0.000682043,0.000682043
41,13242.8,1.73608,2.31834,0.98616,0.94365,0,0.76695,0.54681,0.56246,0.40358,0.5594,0.44858,0.39481,0.26393,1.90062,2.37917,1.04317,0.90227,0,0.000671044,0.000671044,0.000671044
42,13542.2,1.73327,2.34463,0.99956,0.95198,0,0.74857,0.54769,0.55935,0.37588,0.52091,0.46856,0.39469,0.24215,1.97616,2.47764,1.07308,0.92547,0,0.000660045,0.000660045,0.000660045
43,13821.1,1.7276,2.35491,0.98543,0.94342,0,0.76245,0.55579,0.57054,0.40612,0.52989,0.46251,0.39274,0.26387,1.90221,2.39292,1.03975,0.89851,0,0.000649046,0.000649046,0.000649046
44,14116.4,1.69872,2.26444,0.9712,0.93634,0,0.76313,0.56147,0.57398,0.38971,0.54551,0.46936,0.3987,0.24749,1.92261,2.32273,1.02425,0.9189,0,0.000638047,0.000638047,0.000638047
45,14386,1.72114,2.30904,0.97476,0.94327,0,0.74327,0.56116,0.56878,0.40278,0.53567,0.47409,0.39989,0.26419,1.90611,2.34896,1.03516,0.90316,0,0.000627048,0.000627048,0.000627048
46,14671.9,1.68022,2.29274,0.9721,0.93969,0,0.77162,0.56084,0.57266,0.40406,0.54373,0.47187,0.40073,0.25996,1.88769,2.31862,1.02898,0.89995,0,0.000616049,0.000616049,0.000616049
47,14952.6,1.7007,2.30526,0.97509,0.94116,0,0.77389,0.56389,0.57505,0.41448,0.55794,0.46357,0.39321,0.26003,1.87567,2.35302,1.02215,0.89682,0,0.000605051,0.000605051,0.000605051
48,15235.5,1.69106,2.2726,0.97402,0.93833,0,0.77235,0.56115,0.572,0.40704,0.55451,0.46795,0.39571,0.26073,1.87512,2.33297,1.02376,0.89289,0,0.000594052,0.000594052,0.000594052
49,15504.5,1.68499,2.282,0.96007,0.94105,0,0.76773,0.56082,0.57413,0.40608,0.52608,0.46595,0.38979,0.25737,1.89618,2.31153,1.02262,0.89665,0,0.000583053,0.000583053,0.000583053
50,15804.9,1.6986,2.27921,0.96398,0.9351,0,0.77935,0.55819,0.57397,0.40518,0.56204,0.46754,0.39936,0.25963,1.88043,2.31959,1.02789,0.89757,0,0.000572054,0.000572054,0.000572054
51,16152.3,1.67447,2.24049,0.95936,0.93714,0,0.75708,0.55429,0.57528,0.40359,0.52108,0.47103,0.40264,0.26456,1.89298,2.34062,1.02432,0.89271,0,0.000561055,0.000561055,0.000561055
52,16452.2,1.66407,2.21728,0.93265,0.92358,0,0.78428,0.56014,0.578,0.41776,0.54883,0.45543,0.39546,0.25965,1.86112,2.29245,1.01349,0.89032,0,0.000550056,0.000550056,0.000550056
53,16749,1.6785,2.22157,0.94408,0.92928,0,0.77745,0.5709,0.58244,0.4169,0.55831,0.47494,0.40515,0.26614,1.84121,2.25748,0.99135,0.89024,0,0.000539057,0.000539057,0.000539057
54,17019.2,1.64245,2.2377,0.94693,0.93744,0,0.80711,0.55077,0.58159,0.40921,0.57215,0.43702,0.39553,0.26209,1.85435,2.30899,1.00201,0.8972,0,0.000528058,0.000528058,0.000528058
55,17362.9,1.66766,2.22888,0.93669,0.92557,0,0.79479,0.56469,0.58166,0.4212,0.56637,0.47318,0.40815,0.26905,1.83242,2.30334,0.98609,0.88204,0,0.000517059,0.000517059,0.000517059
56,17659.9,1.66745,2.21755,0.93108,0.92615,0,0.79166,0.56279,0.58136,0.42007,0.56379,0.46752,0.40496,0.26842,1.84217,2.2788,0.99362,0.88773,0,0.00050606,0.00050606,0.00050606
57,17938.8,1.65384,2.20416,0.92658,0.92231,0,0.78069,0.57036,0.58557,0.42538,0.54333,0.47376,0.3991,0.26843,1.83632,2.30431,0.9832,0.88553,0,0.000495062,0.000495062,0.000495062
58,18228.7,1.64648,2.21586,0.92838,0.92579,0,0.76409,0.56962,0.58199,0.41755,0.55232,0.47154,0.39965,0.26516,1.82668,2.29878,0.99136,0.88527,0,0.000484063,0.000484063,0.000484063
59,18517.4,1.65092,2.22406,0.92565,0.92042,0,0.77124,0.57487,0.58602,0.42107,0.56205,0.47621,0.40703,0.26868,1.82624,2.32104,0.98918,0.88685,0,0.000473064,0.000473064,0.000473064
60,18826.4,1.63552,2.21151,0.93176,0.92723,0,0.77707,0.57173,0.5849,0.41002,0.54668,0.48,0.40519,0.25741,1.83276,2.26915,0.98841,0.89566,0,0.000462065,0.000462065,0.000462065
61,19122.8,1.6397,2.22857,0.93815,0.92841,0,0.77253,0.56721,0.58374,0.42058,0.54247,0.47448,0.40378,0.26539,1.82026,2.27079,0.97389,0.88083,0,0.000451066,0.000451066,0.000451066
62,19422.4,1.62945,2.1709,0.91996,0.92265,0,0.78701,0.57459,0.58858,0.42108,0.56753,0.48562,0.41259,0.26628,1.81364,2.27846,0.96404,0.88078,0,0.000440067,0.000440067,0.000440067
63,19689.2,1.61045,2.16121,0.91362,0.91866,0,0.78128,0.56877,0.58737,0.42604,0.55597,0.4746,0.40706,0.2699,1.801,2.26969,0.96865,0.87844,0,0.000429068,0.000429068,0.000429068
64,20003,1.61954,2.15628,0.90618,0.91973,0,0.7813,0.57317,0.58757,0.42516,0.5526,0.47825,0.40613,0.26629,1.80944,2.2847,0.97383,0.88279,0,0.000418069,0.000418069,0.000418069
65,20292.6,1.62798,2.17148,0.91376,0.92472,0,0.79776,0.55914,0.58768,0.42326,0.55547,0.46011,0.40413,0.26132,1.81103,2.27769,0.97291,0.88356,0,0.00040707,0.00040707,0.00040707
66,20622.1,1.60587,2.13135,0.89468,0.913,0,0.78227,0.57883,0.59093,0.42227,0.5696,0.48206,0.40998,0.261,1.79825,2.25101,0.95533,0.88472,0,0.000396071,0.000396071,0.000396071
67,20934.5,1.60621,2.15855,0.90058,0.91933,0,0.79504,0.57622,0.59038,0.43083,0.56947,0.47879,0.40159,0.26547,1.78888,2.25833,0.95682,0.87309,0,0.000385073,0.000385073,0.000385073
68,21203.2,1.61477,2.14062,0.89937,0.92078,0,0.7682,0.57097,0.5923,0.43058,0.53757,0.46626,0.40839,0.2662,1.77993,2.27639,0.96748,0.87302,0,0.000374074,0.000374074,0.000374074
69,21498.8,1.58864,2.15075,0.88687,0.91325,0,0.79889,0.57173,0.58951,0.43068,0.55452,0.47763,0.40392,0.26933,1.78316,2.26711,0.96312,0.86996,0,0.000363075,0.000363075,0.000363075
70,21792.2,1.63084,2.19262,0.91021,0.92302,0,0.77277,0.57604,0.59398,0.42973,0.55557,0.47783,0.412,0.27046,1.79742,2.27215,0.96194,0.8724,0,0.000352076,0.000352076,0.000352076
71,22093.9,1.5666,2.10713,0.87851,0.90983,0,0.79403,0.576,0.59641,0.4205,0.55866,0.47844,0.41307,0.26424,1.79121,2.2342,0.95572,0.88452,0,0.000341077,0.000341077,0.000341077
72,22389.8,1.58775,2.1263,0.88844,0.91594,0,0.79527,0.5806,0.59667,0.43402,0.55103,0.48359,0.40835,0.26703,1.77543,2.27621,0.94681,0.87412,0,0.000330078,0.000330078,0.000330078
73,22677.8,1.58485,2.12244,0.89115,0.91595,0,0.79387,0.58269,0.59759,0.42962,0.56547,0.47604,0.40044,0.26141,1.77956,2.22011,0.94883,0.88157,0,0.000319079,0.000319079,0.000319079
74,22964.3,1.58494,2.14477,0.8858,0.91393,0,0.79878,0.57921,0.59714,0.4277,0.56559,0.4898,0.4136,0.265,1.78571,2.21693,0.95255,0.87453,0,0.00030808,0.00030808,0.00030808
75,23244.2,1.57771,2.14078,0.88593,0.91628,0,0.80693,0.57974,0.59661,0.4351,0.58228,0.4746,0.40786,0.26693,1.7746,2.22149,0.94687,0.87168,0,0.000297081,0.000297081,0.000297081
76,23540.2,1.58257,2.10755,0.87453,0.90548,0,0.7879,0.57792,0.59528,0.42632,0.56465,0.47158,0.40799,0.26056,1.77777,2.19589,0.95048,0.88022,0,0.000286083,0.000286083,0.000286083
77,23843.4,1.58646,2.10143,0.87878,0.90829,0,0.78479,0.58401,0.59712,0.43073,0.56159,0.48406,0.40936,0.26549,1.7774,2.21168,0.95196,0.87575,0,0.000275084,0.000275084,0.000275084
78,24123.7,1.57171,2.07733,0.87672,0.91047,0,0.80962,0.57663,0.60041,0.43531,0.55528,0.47396,0.4052,0.26426,1.7628,2.20987,0.93611,0.87371,0,0.000264085,0.000264085,0.000264085
79,24424.9,1.58209,2.1535,0.88109,0.91214,0,0.80731,0.58148,0.60124,0.43675,0.56881,0.47939,0.41028,0.26765,1.75507,2.18408,0.93457,0.86682,0,0.000253086,0.000253086,0.000253086
80,24733.8,1.56571,2.06763,0.86559,0.89864,0,0.80533,0.58204,0.59977,0.43456,0.58111,0.47885,0.41145,0.26712,1.75964,2.20236,0.9318,0.87065,0,0.000242087,0.000242087,0.000242087
81,25027.2,1.58108,2.10793,0.8836,0.91403,0,0.80734,0.57712,0.59907,0.43092,0.58389,0.47034,0.40849,0.26298,1.76194,2.18524,0.93817,0.8778,0,0.000231088,0.000231088,0.000231088
82,25325.1,1.57785,2.11628,0.8761,0.90563,0,0.802,0.58461,0.6018,0.43852,0.57694,0.48201,0.41353,0.27378,1.75846,2.19778,0.93416,0.86855,0,0.000220089,0.000220089,0.000220089
